id;protocolo;processo;assunto;despacho;data_publicacao;coord_despacho;documento;data_extracao
5f933066928571000780df45;120-20-SP-NEW;1020.2020/0016000-9;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;29/06/2022;;;2023.10.09
5f933cc04e44680008ecfe6f;121-20-SP-SAO;1020.2020/0014303-1;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;31/08/2022;;;2023.10.09
5f9354cdab72b200083256d1;123-20-SP-SAO;1010.2020/0008275-5;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;13/01/2021;;;2023.10.09
5f96cddb65c0880007ba3a66;125-20-SP-NEW;1010.2020/0008689-0;Certificado de Acessibilidade;Despacho indeferido;07/12/2022;;;2023.10.09
5f96d3491db5380008457f24;126-20-SP-NEW;1010.2020/0008620-3;Certificado de Acessibilidade;Despacho indeferido;17/08/2022;;;2023.10.09
5f96e4e8d4f68f0008562679;127-20-SP-SAO;1010.2020/0008311-5;Alvará de Aprovação de Edificação Nova (HIS/ HMP);Despacho indeferido;12/04/2021;;;2023.10.09
5f96e4e8d4f68f0008562679;127-20-SP-SAO;1010.2020/0008311-5;Alvará de Aprovação de Edificação Nova (HIS/ HMP);Despacho deferido;03/02/2022;;;2023.10.09
5f9711fffe40e800098e8853;128-20-SP-SAO;1010.2020/0008248-8;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;29/09/2022;;;2023.10.09
5f9711fffe40e800098e8853;128-20-SP-SAO;1010.2020/0008248-8;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;21/03/2023;;;2023.10.09
5f971d3c7a45b70008ea05e4;129-20-SP-NEW;1020.2020/0014480-1;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;24/06/2022;;;2023.10.09
5f971ecb7a45b70008ea05e7;130-20-SP-SAO;1010.2020/0008307-7;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;11/06/2021;;;2023.10.09
5f972a1450335a000855efc5;131-20-SP-SAO;1010.2020/0008304-2;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;08/04/2021;;;2023.10.09
5f9737c4c6dd270008f2cbd9;132-20-SP-SAO;1010.2020/0008637-8;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;20/12/2022;;;2023.10.09
5f973954c6dd270008f2cbdc;133-20-SP-SAO;1010.2020/0008244-5;Alvará de Execução de Edificação Nova (HIS/ HMP);Despacho deferido;04/01/2021;;;2023.10.09
5f9739d2c6dd270008f2cbdf;134-20-SP-NEW;1020.2020/0016006-8;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;29/06/2022;;;2023.10.09
5f9743e2834af80008599aa3;136-20-SP-NEW;1020.2020/0016002-5;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;16/04/2021;;;2023.10.09
5f9743e2834af80008599aa3;136-20-SP-NEW;1020.2020/0016002-5;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;16/04/2021;;;2023.10.09
5f9743e2834af80008599aa3;136-20-SP-NEW;1020.2020/0016002-5;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;16/04/2021;;;2023.10.09
5f9743e2834af80008599aa3;136-20-SP-NEW;1020.2020/0016002-5;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;14/05/2021;;;2023.10.09
5f9743e2834af80008599aa3;136-20-SP-NEW;1020.2020/0016002-5;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;08/06/2022;;;2023.10.09
5f9834040663110008f8abb2;138-20-SP-NEW;1010.2020/0008278-0;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;Despacho indeferido;03/12/2020;;;2023.10.09
5f985c4b0170cb000844fb18;139-20-SP-NEW;1020.2020/0016004-1;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;19/05/2022;;;2023.10.09
5f985e3f0170cb000844fb1b;140-20-SP-SAO;1010.2020/0008450-2;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;15/02/2021;;;2023.10.09
5f985e750170cb000844fb1e;141-20-SP-NEW;1020.2020/0014938-2;Certificado de Segurança;Despacho indeferido;23/09/2021;;;2023.10.09
5f9869da0c851c000810a85b;142-20-SP-SAO;1010.2020/0008276-3;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;13/06/2022;;;2023.10.09
5f9873ab0b87ad00087e2839;143-20-SP-SAO;1010.2020/0008453-7;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;02/06/2021;;;2023.10.09
5f987f6e72237b0009a86ab8;144-20-SP-SAO;1010.2020/0008310-7;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;14/01/2022;;;2023.10.09
5f9882926e8bd00007761843;145-20-SP-SAO;1010.2020/0008273-9;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho deferido;09/02/2022;;;2023.10.09
5f9883b66e8bd00007761846;146-20-SP-SAO;1010.2020/0008314-0;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;05/10/2021;;;2023.10.09
5f98b2163ed6400008321b42;149-20-SP-SAO;1020.2020/0014937-4;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;24/02/2021;;;2023.10.09
5f98bfe0ed73690008373c64;150-20-SP-NEW;1010.2020/0008657-2;Alvará de Execução para instalação de Estação Rádio-Base;Despacho deferido;02/03/2021;;;2023.10.09
5f98c16ded73690008373c67;151-20-SP-NEW;1010.2020/0008446-4;Certificado de Acessibilidade;Despacho deferido;08/08/2022;;;2023.10.09
5f99738d11924f00096a6f8c;153-20-SP-NEW;1020.2020/0014494-1;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;19/05/2022;;;2023.10.09
5f99820c5007bf0008d2090a;154-20-SP-SAO;1010.2020/0008315-8;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;03/06/2021;;;2023.10.09
5f99822e5007bf0008d2090d;155-20-SP-SAO;1010.2020/0008360-3;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;20/01/2022;;;2023.10.09
5f9985bd5007bf0008d20913;157-20-SP-SAO;1010.2020/0008357-3;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho indeferido;17/01/2023;;;2023.10.09
5f99a98c14c8a9000966f302;159-20-SP-SAO;1020.2020/0014308-2;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;27/09/2023;;;2023.10.09
5f99ac1e14c8a9000966f305;160-20-SP-SAO;1010.2020/0008277-1;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;24/06/2021;;;2023.10.09
5f99b3954a5f2b0008dec0a1;161-20-SP-SAO;1010.2020/0008309-3;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;12/05/2021;;;2023.10.09
5f99b3954a5f2b0008dec0a1;161-20-SP-SAO;1010.2020/0008309-3;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;24/09/2021;;;2023.10.09
5f99b75dc00a4600082494cb;162-20-SP-NEW;1020.2020/0014220-5;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;Despacho deferido;25/06/2021;;;2023.10.09
5f99bced8c103c00083fef52;163-20-SP-SAO;1010.2020/0008492-8;Alvará de Aprovação de Edificação Nova (HIS/ HMP);Despacho indeferido;11/04/2023;;;2023.10.09
5f99d314f73a8c0009a8b3ae;165-20-SP-SAO;1010.2020/0008361-1;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho indeferido;28/03/2023;;;2023.10.09
5f99d314f73a8c0009a8b3ae;165-20-SP-SAO;1010.2020/0008361-1;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho deferido;31/07/2023;;;2023.10.09
5f99e4a9db068f000824db3e;168-20-SP-NEW;1020.2020/0014486-0;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;15/06/2022;;;2023.10.09
5f99fb2af271040009e90e2d;169-20-SP-NEW;1020.2020/0014487-9;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;15/03/2021;;;2023.10.09
5f9ad2045c9662000884aa8a;170-20-SP-NEW;1020.2020/0015736-9;Certificado de Acessibilidade;Despacho indeferido;08/11/2021;;;2023.10.09
5f9aee56730daf0008bef136;171-20-SP-SAO;1010.2020/0008272-0;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;28/04/2021;;;2023.10.09
