id;n_processo;assunto;setor_atual;status;sistema
5f99b75dc00a4600082494cb;1020.2020/0014220-5;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;deferido;Aprova Digital
5f99bced8c103c00083fef52;1010.2020/0008492-8;Alvará de Aprovação de Edificação Nova (HIS/ HMP);RESID;indeferido;Aprova Digital
5f99d314f73a8c0009a8b3ae;1010.2020/0008361-1;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);CAP;deferido;Aprova Digital
5f99d493f73a8c0009a8b3b1;1020.2020/0014310-4;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5f99dc158fce1a000828fe8d;1010.2020/0008688-2;Certificado de Acessibilidade;CONTRU;em análise;Aprova Digital
5f99e4a9db068f000824db3e;1020.2020/0014486-0;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f99fb2af271040009e90e2d;1020.2020/0014487-9;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;Aprova Digital
5f9ad2045c9662000884aa8a;1020.2020/0015736-9;Certificado de Acessibilidade;CAP;em análise;Aprova Digital
5f9aee56730daf0008bef136;1010.2020/0008272-0;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);PARHIS;em análise;Aprova Digital
5f9b013385bb480008fbcacd;1010.2020/0008529-0;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;indeferido e encerrado;Aprova Digital
5f9b0a984efed10008a52433;1010.2020/0008358-1;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);SERVIN;em análise;Aprova Digital
5f9b12cb68aac40008ae8374;1020.2020/0014488-7;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f9b14f668aac40008ae8377;1020.2020/0014489-5;Alvará de Instalação de Heliponto;CONTRU;deferido;Aprova Digital
5f9b17fc191664000879f669;1010.2020/0008518-5;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;deferido;Aprova Digital
5f9b19b6191664000879f66c;1020.2020/0014478-0;Certificado de Acessibilidade;CONTRU;em análise;Aprova Digital
5f9b1ff2a316e20008572904;1010.2020/0008381-6;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f9b288211cf9a00089f020e;1020.2020/0014548-4;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f9b51952e9ddf0009ac9274;1020.2020/0014490-9;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;Aprova Digital
5f9c186c66ae6400085f66d2;1020.2020/0014290-6;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5f9c23dcf4015300098cc326;1010.2020/0008679-3;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;indeferido e encerrado;Aprova Digital
5f9c39697d50bf0008a0af8e;1010.2020/0008642-4;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5f9c410280a83100081719ad;1020.2020/0014640-5;Certificado de Segurança;CONTRU;deferido;Aprova Digital
5f9c48cc5dbd250008b61ac6;1010.2020/0008699-8;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f9c537e60aee7000886b236;1010.2020/0008643-2;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);CAP;deferido;Aprova Digital
5f9c53e360aee7000886b239;1010.2020/0008448-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;deferido;Aprova Digital
5f9c59c375f01200080232e8;1020.2020/0014302-3;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f9c5e6d1f1b15000909f635;1010.2020/0008449-9;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;indeferido e encerrado;Aprova Digital
5f9c62ae7caf390008b13375;1020.2020/0014483-6;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;Aprova Digital
5f9c6936bbaf980008372a17;1010.2020/0008674-2;Certidão de Diretrizes Urbanísticas;PARHIS;deferido;Aprova Digital
