id;protocolo;n_processo;assunto;processo_vinculado
62ffca58be81cd00098dd3a8;18598-22-SP-CCE;1020.2022/0015289-1;Certificado de Conclusão;1686-21-SP-SAO
62fff664e235c700099900d7;18639-22-SP-CCE;1020.2022/0015368-5;Certificado de Conclusão;1772-21-SP-NEW
63000a4d4dc00f0009a63e13;18642-22-SP-CCE;1020.2022/0015777-0;Certificado de Conclusão;573-20-SP-SAO
630388dea870380009e6a2f1;18678-22-SP-CCE;1020.2022/0015584-0;Certificado de Conclusão;802-20-SP-SAO
63051035a5a23f00097604d0;18759-22-SP-CCE;1020.2022/0015483-5;Certificado de Conclusão;161-20-SP-SAO
63053ce27b32820009a2ca44;18785-22-SP-CCE;1020.2022/0015884-9;Certificado de Conclusão;2921-21-SP-ALV
630631c827165b0009de29e0;18810-22-SP-CCE;1020.2022/0015710-9;Certificado de Conclusão;415-20-SP-SAO
63068534f405360009f36eda;18861-22-SP-CCE;1020.2022/0015992-6;Certificado de Conclusão;1846-21-SP-SAO
63079fd95d42c000092afaef;18907-22-SP-CCE;1020.2022/0015828-8;Certificado de Conclusão;10464-22-SP-ALV
6307ad2e06bdc90009ae2c53;18916-22-SP-CCE;1020.2022/0016116-5;Certificado de Conclusão;8219-21-SP-REF
6307eda7d0dfd60009f8da03;18966-22-SP-CCE;1020.2022/0015801-6;Certificado de Conclusão;3006-21-SP-ALV
6308ca89209a2b0009c04e2d;18982-22-SP-CCE;1020.2022/0015809-1;Certificado de Conclusão;1599-21-SP-NEW
6309105079498a00094f6b29;19017-22-SP-CCE;1020.2022/0015830-0;Certificado de Conclusão;1777-21-SP-NEW
63091763ceac5c0009249a16;19024-22-SP-CCE;1020.2022/0016277-3;Certificado de Conclusão;3616-21-SP-ALV
630cc29531abe1000937d5f1;19100-22-SP-CCE;1020.2022/0016279-0;Certificado de Conclusão;2678-21-SP-ALV
630cdfa9887d3c0009633715;19114-22-SP-CCE;1020.2022/0016837-2;Certificado de Conclusão;6701-21-SP-ALV
630cf0811e96760009591dc3;19122-22-SP-CCE;1020.2022/0016283-8;Certificado de Conclusão;2793-21-SP-ALV
630e14d7f2e19c0009eac050;19198-22-SP-CCE;1020.2022/0016812-7;Certificado de Conclusão;3778-21-SP-ALV
630e86fb751f1d00096b6a8c;19272-22-SP-CCE;1020.2022/0016891-7;Certificado de Conclusão;2336-21-SP-SAO
630ea035d4003b0009c9c32b;19278-22-SP-CCE;1020.2022/0016893-3;Certificado de Conclusão;5007-21-SP-ALV
630f6c33462abc00099e96e1;19305-22-SP-CCE;1020.2022/0016646-9;Certificado de Conclusão;1597-21-SP-SAO
630f747517ee7e0009930604;19318-22-SP-CCE;1020.2022/0017621-9;Certificado de Conclusão;14098-22-SP-ALV
630f7793c63a440009d58cd0;19320-22-SP-CCE;1020.2022/0016985-9;Certificado de Conclusão;9313-21-SP-ALV
630fc703708468000965c3c9;19376-22-SP-CCE;1020.2022/0017138-1;Certificado de Conclusão;4625-21-SP-ALV
6310ff4d80c25f00099ecc77;19474-22-SP-CCE;1020.2022/0016826-7;Certificado de Conclusão;2148-21-SP-SAO
63160d9ec851e50009b2a9c8;19753-22-SP-CCE;1020.2022/0016382-6;Certificado de Conclusão;8885-21-SP-ALV
