n_protocolo;n_processo;data_comuniquese;coord_comuniquese;data_extracao
49357/2020;1020.2020/0007337-8;30/06/2023;GTEC;2024.07.02
49881/2021;1020.2020/0004806-3;27/10/2023;GTEC;2024.07.02
49937/2021;1020.2020/0001936-5;17/01/2024;GTEC;2024.07.02
49957/2021;1020.2020/0004809-8;08/04/2024;GTEC;2024.07.02
49957/2021;1020.2020/0004809-8;22/01/2024;GTEC;2024.07.02
49995/2021;1020.2020/0003816-5;06/03/2024;GTEC;2024.07.02
49995/2021;1020.2020/0003816-5;17/01/2024;GTEC;2024.07.02
50454/2021;1020.2020/0002116-5;29/01/2024;GTEC;2024.07.02
51006/2020;1020.2020/0014651-0;23/01/2024;GTEC;2024.07.02
51325/2020;1020.2020/0008993-2;09/10/2023;GTEC;2024.07.02
51494/2021;1020.2021/0018602-6;10/10/2023;GTEC;2024.07.02
51494/2021;1020.2021/0018602-6;22/12/2023;GTEC;2024.07.02
51494/2021;1020.2021/0018602-6;27/07/2023;GTEC;2024.07.02
51556/2022;1020.2022/0022842-1;28/06/2024;GTEC;2024.07.02
51639/2021;1020.2021/0016943-1;02/02/2023;GTEC;2024.07.02
51767/2021;1020.2020/0001687-0;22/01/2024;GTEC;2024.07.02
51982/2023;1020.2020/0012619-6;01/02/2024;GTEC;2024.07.02
52041/2020;1020.2020/0007339-4;22/12/2022;GTEC;2024.07.02
52041/2020;1020.2020/0007339-4;29/11/2022;GTEC;2024.07.02
52164/2020;1020.2020/0007343-2;02/12/2022;GTEC;2024.07.02
52164/2020;1020.2020/0007343-2;06/02/2023;GTEC;2024.07.02
52164/2020;1020.2020/0007343-2;09/01/2023;GTEC;2024.07.02
52962/2021;1020.2020/0002679-5;06/05/2024;GTEC;2024.07.02
52962/2021;1020.2020/0002679-5;29/01/2024;GTEC;2024.07.02
53211/2021;1020.2021/0017833-3;09/11/2023;GTEC;2024.07.02
53211/2021;1020.2021/0017833-3;18/08/2023;GTEC;2024.07.02
53455/2021;1020.2021/0017826-0;03/02/2023;GTEC;2024.07.02
53471/2020;1020.2020/0008173-7;06/03/2023;GTEC;2024.07.02
53507/2021;1020.2020/0000620-4;03/04/2023;GTEC;2024.07.02
53507/2021;1020.2020/0000620-4;24/01/2023;GTEC;2024.07.02
53525/2020;1020.2020/0005755-0;19/10/2022;GTEC;2024.07.02
53653/2020;1020.2020/0005753-4;02/10/2023;GTEC;2024.07.02
53653/2020;1020.2020/0005753-4;20/07/2023;GTEC;2024.07.02
53813/2021;1020.2021/0017407-9;05/09/2023;GTEC;2024.07.02
53922/2020;1020.2020/0006823-4;01/11/2022;GTEC;2024.07.02
5397/2023;1020.2023/0003756-3;03/04/2024;GTEC;2024.07.02
53975/2020;1020.2020/0006877-3;10/01/2023;GTEC;2024.07.02
53975/2020;1020.2020/0006877-3;11/04/2023;GTEC;2024.07.02
53975/2020;1020.2020/0006877-3;21/11/2022;GTEC;2024.07.02
53991/2020;1020.2020/0014757-6;13/06/2023;GTEC;2024.07.02
53991/2020;1020.2020/0014757-6;18/04/2023;GTEC;2024.07.02
53991/2020;1020.2020/0014757-6;23/01/2024;GTEC;2024.07.02
54032/2021;1020.2020/0001511-4;15/06/2023;GTEC;2024.07.02
54032/2021;1020.2020/0001511-4;18/12/2023;GTEC;2024.07.02
54032/2021;1020.2020/0001511-4;22/03/2023;GTEC;2024.07.02
54058/2020;1020.2020/0006794-7;03/11/2022;GTEC;2024.07.02
54058/2020;1020.2020/0006794-7;19/12/2022;GTEC;2024.07.02
5411/2024;1020.2021/0015790-5;05/06/2024;GTEC;2024.07.02
