processo,sql_incra
1020.2021/0001325-3,02600800433
1020.2020/0013767-8,06749800173
1020.2021/0002787-4,14724000464
1020.2020/0002703-1,19811700027
1020.2020/0011712-0,06416700158
1020.2020/0013024-0,07851700159
1020.2020/0007022-0,11822800861
1020.2021/0004090-0,02300300567
1020.2020/0005522-1,01904600085
1020.2020/0000513-5,05419300052
1020.2020/0008330-6,11120700425
1020.2023/0012682-5,04720203418
1020.2020/0000397-3,12007200154
1020.2020/0009238-0,02401001239
1020.2020/0004601-0,08552001365
1020.2020/0000789-8,09802100544
1020.2020/0004355-0,05519600791
1020.2020/0011438-4,20201800304
1020.2021/0001821-2,15600700376
1020.2021/0002137-0,03913800271
1020.2021/0000039-9,06004501409
1020.2023/0017058-1,12207000566
1020.2023/0012272-2,08301000295
1020.2021/0006330-7,13028700890
1020.2020/0012891-1,04504400219
1020.2020/0012724-9,06906500139
1020.2020/0007719-5,30602200412
1020.2021/0003199-5,11741300771
1020.2020/0014477-1,23201200611
1020.2020/0002990-5,11131001124
1020.2020/0013407-5,11235200174
1020.2021/0009526-8,03301104789
1020.2020/0007364-5,08625900305
1020.2023/0012334-6,11343100045
1020.2020/0002778-3,11032500610
1020.2021/0009717-1,18307501211
1020.2021/0009526-8,03301104584
1020.2021/0010027-0,07673900289
1020.2020/0005945-6,30304700360
1020.2023/0016032-2,04108500156
1020.2023/0015775-5,07724000158
1020.2021/0002849-8,07610900796
1020.2020/0003272-8,17305900604
