sistema,processo,protocolo,codigoAssuntoObra,situacaoDespacho,unidade,dtEmissaoDespacho,dtPublicacaoDespacho,dt_inclusao
AprovaDigital,1020.2020/0015553-6,667-20-SP-SAO,5fd7a33774e0a900080b51d3,NULL,SMUL/SERVIN/DSIGP,2022-01-13,2022-01-13,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015991-4,669-20-SP-NEW,5fd7afb72181ab00083e7756,NULL,SMUL/CONTRU/ DSUS,2021-12-30,2021-12-30,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015405-0,670-20-SP-SAO,5fd7bea0b52a6b0009e88e31,NULL,SMUL/PARHIS/DHIS,2022-12-12,2022-12-12,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015405-0,670-20-SP-SAO,5fd7bea0b52a6b0009e88e31,NULL,SMUL/PARHIS,2023-03-29,2023-03-29,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015563-3,672-20-SP-NEW,5fd7caedd01daa00081aeebb,NULL,SMUL/CONTRU/DINS,2022-06-23,2022-06-23,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015766-0,674-20-SP-SAO,5fd7d00288563800083f4484,NULL,SMUL/SERVIN/DSIMP,2022-06-23,2022-06-23,2023-08-31 14:46:00
AprovaDigital,1020.2021/0003328-9,675-20-SP-NEW,5fd7d16c88563800083f4487,NULL,SMUL/CONTRU/DACESS,2021-11-04,2021-11-04,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015421-1,676-20-SP-INT,5fd7d20688563800083f448a,NULL,SMUL/PARHIS/DHMP,2021-10-01,2021-10-01,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015645-1,680-20-SP-NEW,5fd7d98fe7b78500097edd0f,NULL,SMUL/CONTRU/DINS,2021-05-13,2021-05-13,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015423-8,681-20-SP-SAO,5fd7dbaa9109fa0008dd0a3b,NULL,SMUL/PARHIS/DHIS,2021-12-10,2021-12-10,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015562-5,682-20-SP-NEW,5fd7e6240fcc7800089c1a84,NULL,SMUL/CONTRU/DINS,2022-06-14,2022-06-14,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015425-4,686-20-SP-SAO,5fd8bcee3b559600086b1d64,NULL,SMUL/PARHIS/DHIS,2021-07-15,2021-07-15,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015430-0,688-20-SP-SAO,5fd8c162ddd6ef00087817a0,NULL,SMUL/PARHIS/DHIS,2022-02-09,2022-02-09,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015430-0,688-20-SP-SAO,5fd8c162ddd6ef00087817a0,NULL,SMUL/PARHIS/DHIS,2022-02-09,2022-02-09,2023-08-31 14:46:00
AprovaDigital,1020.2021/0008129-1,690-20-SP-NEW,5fd8e4505e827600096a4814,NULL,SMUL/CONTRU/DACESS,2023-03-23,2023-03-23,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015426-2,691-20-SP-SAO,5fd8e76ab824100008b55338,NULL,SMUL/PARHIS/DHMP,2021-10-22,2021-10-22,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015429-7,692-20-SP-SAO,5fd8f345c637600008c12a1e,NULL,SMUL/PARHIS/DHIS,2022-04-04,2022-04-04,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015429-7,692-20-SP-SAO,5fd8f345c637600008c12a1e,NULL,SMUL/PARHIS,2022-05-12,2022-05-12,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015648-6,693-20-SP-SAO,5fd9015836d59800088fa82c,NULL,SMUL/RESID/DRGP,2021-04-22,2021-04-22,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015438-6,694-20-SP-SAO,5fd90ae39aa0fd00087727ed,NULL,SMUL/PARHIS/DHIS,2021-09-27,2021-09-27,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015971-0,695-20-SP-NEW,5fd90b7f9aa0fd00087727f0,NULL,SMUL/CONTRU/DINS,2021-03-15,2021-03-15,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015757-1,697-20-SP-NEW,5fd914bf278c890009926a53,NULL,SMUL/CONTRU/DINS,2022-05-10,2022-05-10,2023-08-31 14:46:00
AprovaDigital,1020.2021/0000024-0,700-20-SP-NEW,5fd935195b97f400092c26c2,NULL,SMUL/CONTRU/DACESS,2022-11-01,2022-11-01,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015823-3,703-20-SP-SAO,5fd9f2405a4fc70009749b67,NULL,SMUL/COMIN/DCIMP,2022-06-10,2022-06-10,2023-08-31 14:46:00
AprovaDigital,1020.2021/0000081-0,704-20-SP-NEW,5fda00695a43eb0008b719c9,NULL,SMUL/CONTRU/DINS,2021-05-13,2021-05-13,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015770-9,705-20-SP-SAO,5fda0d06eb0109000866235e,NULL,SMUL/RESID/DRGP,2021-06-17,2021-06-17,2023-08-31 14:46:00
AprovaDigital,1020.2021/0001886-7,707-20-SP-NEW,5fda38414e377200094fdc7b,NULL,SMUL/CONTRU/DACESS,2022-09-26,2022-09-26,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015494-7,708-20-SP-SAO,5fda462a8a0f9c0008a29327,NULL,SMUL/PARHIS/DHIS,2022-01-05,2022-01-05,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015494-7,708-20-SP-SAO,5fda462a8a0f9c0008a29327,NULL,SMUL/PARHIS,2022-03-29,2022-03-29,2023-08-31 14:46:00
AprovaDigital,1020.2021/0001726-7,710-20-SP-NEW,5fda4e38e56ce7000877bda0,NULL,SMUL/CONTRU/DLR,2021-08-23,2021-08-23,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015541-2,711-20-SP-SAO,5fda53e5618dd30009b74ac0,NULL,SMUL/PARHIS/DHIS,2021-10-29,2021-10-29,2023-08-31 14:46:00
AprovaDigital,1020.2020/0016001-7,713-20-SP-SAO,5fda62dcdcee8a0008cab143,NULL,SMUL/RESID/DRGP,2021-06-24,2021-06-24,2023-08-31 14:46:00
AprovaDigital,1020.2021/0001456-0,714-20-SP-NEW,5fda6634e7cba20008e66c5d,NULL,SMUL/CONTRU/DACESS,2023-03-23,2023-03-23,2023-08-31 14:46:00
AprovaDigital,1020.2021/0000012-7,716-20-SP-NEW,5fda71da29989100098195c5,NULL,SMUL/CONTRU/DACESS,2022-06-28,2022-06-28,2023-08-31 14:46:00
