sistema,processo,protocolo,codigoAssuntoObra,situacaoComuniqueSe,unidade,codigoComuniquese,dtEmissaoComuniquese,dtPublicacaoComuniquese,dt_inclusao,responsavel
AprovaDigital,1020.2022/0020053-5,21593-22-SP-ALV,634581ea705ccf00099fb9fe,NULL,SMUL/RESID/DRGP,NULL,2023-01-18,2023-01-18,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020057-8,21610-22-SP-CCE,6345bdb68a789800097a3baf,NULL,SMUL/RESID/DRGP,NULL,2022-12-19,2022-12-19,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020058-6,21626-22-SP-ALV,6345e7cff226450009cde16a,NULL,SMUL/PARHIS/DHMP,NULL,2023-03-07,2023-03-07,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020058-6,21626-22-SP-ALV,6345e7cff226450009cde16a,NULL,SMUL/PARHIS/DHMP,NULL,2023-07-18,2023-07-18,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020064-0,21777-22-SP-MOD,634eba39c01847000976aa70,NULL,SMUL/CASE/DDU,NULL,2022-12-14,2022-12-14,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020066-7,12040-22-SP-DLR,623b76b4d0574f00093c8838,NULL,SMUL/CONTRU/DLR,NULL,2023-04-04,2023-04-04,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020066-7,12040-22-SP-DLR,623b76b4d0574f00093c8838,NULL,SMUL/CONTRU/DLR,NULL,2023-05-08,2023-05-08,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020068-3,21792-22-SP-ALV,634edd1dc3538500094fc1a7,NULL,SMUL/PARHIS/DHIS,NULL,2023-07-07,2023-07-07,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020068-3,21792-22-SP-ALV,634edd1dc3538500094fc1a7,NULL,SMUL/PARHIS/DHIS,NULL,2023-08-08,2023-08-08,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020070-5,7301-21-SP-DLR,616717ad6057d20008e46a2a,NULL,SMUL/CONTRU/DLR,NULL,2023-08-21,2023-08-21,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020120-5,21536-22-SP-AUT,634440938915ab0009958ce8,NULL,SMUL/PARHIS/DHIS,NULL,2022-12-27,2022-12-27,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020123-0,21494-22-SP-CDT,634095f10f562d00095a26fc,NULL,SMUL/CONTRU/DINS,NULL,2023-06-19,2023-06-19,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020123-0,21494-22-SP-CDT,634095f10f562d00095a26fc,NULL,SMUL/CONTRU/DINS,NULL,2023-07-19,2023-07-19,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020124-8,21409-22-SP-CER,633eecbcb52b620009079d62,NULL,SMUL/CONTRU/DACESS,NULL,2023-02-09,2023-02-09,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020124-8,21409-22-SP-CER,633eecbcb52b620009079d62,NULL,SMUL/CONTRU/DACESS,NULL,2023-03-20,2023-03-20,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020124-8,21409-22-SP-CER,633eecbcb52b620009079d62,NULL,SMUL/CONTRU/DACESS,NULL,2023-04-24,2023-04-24,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020124-8,21409-22-SP-CER,633eecbcb52b620009079d62,NULL,SMUL/CONTRU/DACESS,NULL,2023-06-07,2023-06-07,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020124-8,21409-22-SP-CER,633eecbcb52b620009079d62,NULL,SMUL/CONTRU/DACESS,NULL,2023-08-08,2023-08-08,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020125-6,21407-22-SP-CER,633ee9087f78be0009c296d7,NULL,SMUL/CONTRU/DACESS,NULL,2023-03-21,2023-03-21,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020125-6,21407-22-SP-CER,633ee9087f78be0009c296d7,NULL,SMUL/CONTRU/DACESS,NULL,2023-05-02,2023-05-02,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020126-4,21468-22-SP-CER,634044a9eb78240009b1b08a,NULL,SMUL/CONTRU/DSUS,NULL,2023-02-16,2023-02-16,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020126-4,21468-22-SP-CER,634044a9eb78240009b1b08a,NULL,SMUL/CONTRU/DSUS,NULL,2023-04-12,2023-04-12,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020129-9,19607-22-SP-ALV,63124da8f3a5660009940cdc,NULL,SMUL/RESID/DRGP,NULL,2023-02-13,2023-02-13,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020130-2,21628-22-SP-REF,6345f5d33e83c20009ccb852,NULL,SMUL/SERVIN/DSIGP,NULL,2023-08-25,2023-08-25,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020133-7,21561-22-SP-ALV,634474743f9d4d000920b977,NULL,SMUL/RESID/DRGP,NULL,2022-11-28,2022-11-28,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020134-5,21649-22-SP-ALV,634850bdee180f000978a12a,NULL,SMUL/COMIN/DCIMP,NULL,2022-11-08,2022-11-08,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020135-3,21385-22-SP-ALV,633df37b86185a00093993e3,NULL,SMUL/RESID/DRPM,NULL,2022-12-14,2022-12-14,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020135-3,21385-22-SP-ALV,633df37b86185a00093993e3,NULL,SMUL/RESID/DRPM,NULL,2023-01-31,2023-01-31,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020135-3,21385-22-SP-ALV,633df37b86185a00093993e3,NULL,SMUL/RESID/DRPM,NULL,2023-02-24,2023-02-24,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020136-1,21669-22-SP-ALV,63489050ac5b460009817007,NULL,SMUL/RESID/DRGP,NULL,2022-12-12,2022-12-12,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020137-0,21701-22-SP-ALV,6349a347e88f500009b372c4,NULL,SMUL/PARHIS/DHMP,NULL,2023-02-07,2023-02-07,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020137-0,21701-22-SP-ALV,6349a347e88f500009b372c4,NULL,SMUL/PARHIS/DHMP,NULL,2023-04-06,2023-04-06,2023-09-05 19:09:00,NULL
