processo;despacho;contagem_dispatched;contagem_dom
1020.2022/0017636-7;Despacho deferido;1;correto
1020.2022/0017965-0;Despacho deferido;1;correto
1020.2022/0017684-7;Despacho deferido;1;correto
1020.2022/0017688-0;Despacho deferido;1;correto
1020.2022/0017963-3;Despacho deferido;1;correto
1020.2022/0017700-2;Despacho deferido;1;correto
1020.2022/0018166-2;Despacho deferido;1;correto
1020.2022/0018165-4;Despacho deferido;1;correto
1020.2022/0017980-3;Despacho deferido;1;correto
1020.2022/0017790-8;Despacho deferido;1;correto
1020.2022/0017962-5;Despacho deferido;1;correto
1020.2022/0017703-7;Despacho deferido;1;correto
1020.2022/0018131-0;Despacho deferido;1;correto
1020.2022/0017961-7;Despacho deferido;1;correto
1020.2022/0017981-1;Despacho deferido;1;correto
1020.2022/0017708-8;Despacho deferido;1;correto
1020.2022/0017983-8;Despacho deferido;1;correto
1020.2022/0017960-9;Despacho deferido;1;correto
1020.2022/0018128-0;Despacho deferido;1;correto
1020.2022/0018167-0;Despacho deferido;1;correto
1020.2022/0017979-0;Despacho deferido;1;correto
1020.2022/0017699-5;Despacho deferido;1;correto
1020.2022/0017976-5;Despacho deferido;1;correto
1020.2022/0017692-8;Despacho deferido;1;correto
1020.2022/0017694-4;Despacho deferido;1;correto
1020.2022/0017695-2;Despacho deferido;1;correto
1020.2022/0018175-1;Despacho deferido;1;correto
1020.2022/0018174-3;Despacho deferido;1;correto
1020.2022/0018173-5;Despacho deferido;1;correto
1020.2022/0017975-7;Despacho deferido;1;correto
1020.2022/0018172-7;Despacho deferido;1;correto
1020.2022/0018168-9;Despacho deferido;1;correto
1020.2022/0017977-3;Despacho deferido;1;correto
1020.2022/0018171-9;Despacho deferido;1;correto
1020.2022/0017964-1;Despacho deferido;1;correto
1020.2022/0017698-7;Despacho deferido;1;correto
1020.2022/0018170-0;Despacho deferido;1;correto
1020.2022/0018169-7;Despacho deferido;1;correto
1020.2022/0017978-1;Despacho deferido;1;correto
1020.2022/0017789-4;Despacho deferido;1;correto
1020.2022/0017624-3;Despacho deferido;1;correto
1020.2022/0017791-6;Despacho deferido;1;correto
1020.2022/0018071-2;Despacho deferido;1;correto
1020.2022/0017879-3;Despacho deferido;1;correto
1020.2022/0018003-8;Despacho deferido;1;correto
1020.2022/0017880-7;Despacho deferido;1;correto
1020.2022/0017928-5;Despacho deferido;1;correto
1020.2022/0018004-6;Despacho deferido;1;correto
1020.2022/0017881-5;Despacho deferido;1;correto
1020.2022/0017882-3;Despacho deferido;1;correto
1020.2022/0017883-1;Despacho deferido;1;correto
1020.2022/0018075-5;Despacho deferido;1;correto
1020.2022/0017884-0;Despacho deferido;1;correto
1020.2022/0018074-7;Despacho deferido;1;correto
1020.2022/0018073-9;Despacho deferido;1;correto
1020.2022/0017925-0;Despacho deferido;1;correto
1020.2022/0017885-8;Despacho deferido;1;correto
1020.2022/0018072-0;Despacho deferido;1;correto
1020.2022/0018002-0;Despacho deferido;1;correto
1020.2022/0017878-5;Despacho deferido;1;correto
1020.2022/0017873-4;Despacho deferido;1;correto
1020.2022/0018079-8;Despacho deferido;1;correto
1020.2022/0017871-8;Despacho deferido;1;correto
1020.2022/0018078-0;Despacho deferido;1;correto
1020.2022/0017872-6;Despacho deferido;1;correto
1020.2022/0017932-3;Despacho deferido;1;correto
1020.2022/0018000-3;Despacho deferido;1;correto
1020.2022/0018001-1;Despacho deferido;1;correto
1020.2022/0018076-3;Despacho deferido;1;correto
1020.2022/0017931-5;Despacho deferido;1;correto
1020.2022/0017874-2;Despacho deferido;1;correto
1020.2022/0017875-0;Despacho deferido;1;correto
1020.2022/0017876-9;Despacho deferido;1;correto
1020.2022/0017877-7;Despacho deferido;1;correto
1020.2022/0018077-1;Despacho deferido;1;correto
1020.2022/0017886-6;Despacho deferido;1;correto
1020.2022/0018070-4;Despacho deferido;1;correto
1020.2022/0018080-1;Despacho deferido;1;correto
1020.2022/0017887-4;Despacho deferido;1;correto
1020.2022/0018015-1;Despacho deferido;1;correto
1020.2022/0018014-3;Despacho deferido;1;correto
1020.2022/0018013-5;Despacho deferido;1;correto
1020.2022/0018012-7;Despacho deferido;1;correto
1020.2022/0017903-0;Despacho deferido;1;correto
1020.2022/0018011-9;Despacho deferido;1;correto
1020.2022/0018010-0;Despacho deferido;1;correto
1020.2022/0017914-5;Despacho deferido;1;correto
1020.2022/0018006-2;Despacho deferido;1;correto
1020.2022/0017906-4;Despacho deferido;1;correto
1020.2022/0018009-7;Despacho deferido;1;correto
1020.2022/0018008-9;Despacho deferido;1;correto
1020.2022/0017907-2;Despacho deferido;1;correto
1020.2022/0017908-0;Despacho deferido;1;correto
1020.2022/0017913-7;Despacho deferido;1;correto
1020.2022/0018007-0;Despacho deferido;1;correto
1020.2022/0018064-0;Despacho deferido;1;correto
1020.2022/0018065-8;Despacho deferido;1;correto
1020.2022/0018069-0;Despacho deferido;1;correto
1020.2022/0018005-4;Despacho deferido;1;correto
1020.2022/0017888-2;Despacho deferido;1;correto
1020.2022/0018068-2;Despacho deferido;1;correto
1020.2022/0017889-0;Despacho deferido;1;correto
1020.2022/0018067-4;Despacho deferido;1;correto
1020.2022/0017890-4;Despacho deferido;1;correto
1020.2022/0017891-2;Despacho deferido;1;correto
1020.2022/0017897-1;Despacho deferido;1;correto
1020.2022/0017922-6;Despacho deferido;1;correto
1020.2022/0017892-0;Despacho deferido;1;correto
1020.2022/0017893-9;Despacho deferido;1;correto
1020.2022/0018066-6;Despacho deferido;1;correto
1020.2022/0017917-0;Despacho deferido;1;correto
1020.2022/0017870-0;Despacho deferido;1;correto
1020.2022/0017934-0;Despacho deferido;1;correto
1020.2022/0018102-6;Despacho deferido;1;inexistente
1020.2022/0018089-5;Despacho deferido;1;correto
1020.2022/0017987-0;Despacho deferido;1;correto
1020.2022/0017809-2;Despacho deferido;1;correto
1020.2022/0017988-9;Despacho deferido;1;correto
1020.2022/0018095-0;Despacho deferido;1;correto
1020.2022/0018094-1;Despacho deferido;1;correto
1020.2022/0017810-6;Despacho deferido;1;correto
1020.2022/0017989-7;Despacho deferido;1;correto
1020.2022/0017990-0;Despacho deferido;1;correto
1020.2022/0017812-2;Despacho deferido;1;correto
1020.2022/0017813-0;Despacho deferido;1;correto
1020.2022/0018093-3;Despacho deferido;1;correto
1020.2022/0017991-9;Despacho deferido;1;correto
1020.2022/0018092-5;Despacho deferido;1;correto
1020.2022/0018091-7;Despacho deferido;1;correto
1020.2022/0018090-9;Despacho deferido;1;correto
1020.2022/0017808-4;Despacho deferido;1;correto
1020.2022/0017805-0;Despacho deferido;1;correto
1020.2022/0017794-0;Despacho deferido;1;correto
1020.2022/0017947-1;Despacho deferido;1;correto
1020.2022/0018100-0;Despacho deferido;1;correto
1020.2022/0017946-3;Despacho deferido;1;correto
1020.2022/0017945-5;Despacho deferido;1;correto
1020.2022/0017944-7;Despacho deferido;1;correto
1020.2022/0017943-9;Despacho deferido;1;correto
1020.2022/0018099-2;Despacho deferido;1;correto
1020.2022/0018096-8;Despacho deferido;1;correto
1020.2022/0018098-4;Despacho deferido;1;correto
1020.2022/0017796-7;Despacho deferido;1;correto
