processo;despacho;contagem_dom;contagem_dispatched
1020.2022/0016710-4;deferido;1;correto
1020.2022/0016554-3;deferido;1;correto
1020.2022/0017497-6;deferido;1;correto
1020.2022/0017937-4;deferido;1;correto
1020.2022/0016709-0;deferido;1;correto
1020.2022/0017510-7;deferido;1;correto
1020.2022/0017936-6;deferido;1;correto
1020.2022/0017504-2;deferido;1;correto
1020.2022/0016555-1;deferido;1;correto
1020.2022/0016707-4;deferido;1;correto
1020.2022/0017505-0;deferido;1;correto
1020.2022/0017506-9;deferido;1;correto
1020.2022/0017934-0;deferido;1;correto
1020.2022/0017610-3;deferido;1;correto
1020.2022/0017611-1;deferido;1;correto
1020.2022/0017874-2;deferido;1;correto
1020.2022/0017774-6;deferido;1;correto
1020.2022/0017775-4;deferido;1;correto
1020.2022/0017776-2;deferido;1;correto
1020.2022/0017777-0;deferido;1;correto
1020.2022/0016650-7;deferido;1;correto
1020.2022/0016646-9;deferido;1;correto
1020.2022/0017873-4;deferido;1;correto
1020.2022/0017778-9;deferido;1;correto
1020.2022/0016621-3;deferido;1;correto
1020.2022/0016622-1;deferido;1;correto
1020.2022/0017779-7;deferido;1;correto
1020.2022/0017780-0;deferido;1;correto
1020.2022/0016645-0;deferido;1;correto
1020.2022/0017781-9;deferido;1;correto
1020.2022/0017783-5;deferido;1;correto
1020.2022/0017789-4;deferido;1;correto
1020.2022/0017790-8;deferido;1;correto
1020.2022/0017771-1;deferido;1;correto
1020.2022/0017875-0;deferido;1;correto
1020.2022/0017876-9;deferido;1;correto
1020.2022/0017881-5;deferido;1;correto
1020.2022/0016656-6;deferido;1;correto
1020.2022/0016655-8;deferido;1;correto
1020.2022/0017883-1;deferido;1;correto
1020.2022/0016654-0;deferido;1;correto
1020.2022/0017724-0;deferido;1;correto
1020.2022/0017766-5;deferido;1;correto
1020.2022/0017882-3;deferido;1;correto
1020.2022/0017767-3;deferido;1;correto
1020.2022/0016651-5;deferido;1;correto
1020.2022/0017880-7;deferido;1;correto
1020.2022/0017879-3;deferido;1;correto
1020.2022/0017768-1;deferido;1;correto
1020.2022/0017878-5;deferido;1;correto
1020.2022/0017769-0;deferido;1;correto
1020.2022/0016652-3;deferido;1;correto
1020.2022/0017877-7;deferido;1;correto
1020.2022/0017770-3;deferido;1;correto
1020.2022/0017791-6;deferido;1;correto
1020.2022/0016644-2;deferido;1;2
1020.2022/0017722-3;deferido;1;correto
1020.2022/0017809-2;deferido;1;correto
1020.2022/0017861-0;deferido;1;correto
1020.2022/0017860-2;deferido;1;correto
1020.2022/0017810-6;deferido;1;correto
1020.2022/0017812-2;deferido;1;correto
1020.2022/0017859-9;deferido;1;correto
1020.2022/0017813-0;deferido;1;correto
1020.2022/0017858-0;deferido;1;correto
1020.2022/0016624-8;deferido;1;correto
1020.2022/0017815-7;deferido;1;correto
1020.2022/0017857-2;deferido;1;correto
1020.2022/0017816-5;deferido;1;correto
1020.2022/0017817-3;deferido;1;correto
1020.2022/0016629-9;deferido;1;correto
1020.2022/0017818-1;deferido;1;correto
1020.2022/0016627-2;deferido;1;correto
1020.2022/0016633-7;deferido;1;correto
1020.2022/0017808-4;deferido;1;correto
1020.2022/0017862-9;deferido;1;correto
1020.2022/0017868-8;deferido;1;correto
1020.2022/0017872-6;deferido;1;correto
1020.2022/0017871-8;deferido;1;correto
1020.2022/0017794-0;deferido;1;correto
1020.2022/0016635-3;deferido;1;correto
1020.2022/0017870-0;deferido;1;correto
1020.2022/0017796-7;deferido;1;correto
1020.2022/0017869-6;deferido;1;correto
1020.2022/0017797-5;deferido;1;correto
1020.2022/0017799-1;deferido;1;correto
1020.2022/0017864-5;deferido;1;correto
1020.2022/0017867-0;deferido;1;correto
1020.2022/0016623-0;deferido;1;correto
1020.2022/0017800-9;deferido;1;correto
1020.2022/0017866-1;deferido;1;correto
1020.2022/0017802-5;deferido;1;correto
1020.2022/0017805-0;deferido;1;correto
1020.2022/0017884-0;deferido;1;correto
1020.2022/0017721-5;deferido;1;correto
1020.2022/0017612-0;deferido;1;correto
1020.2022/0017643-0;deferido;1;correto
1020.2022/0017633-2;deferido;1;correto
1020.2022/0017907-2;deferido;1;correto
1020.2022/0016673-6;deferido;1;correto
1020.2022/0017906-4;deferido;1;correto
1020.2022/0016672-8;deferido;1;correto
1020.2022/0017903-0;deferido;1;correto
1020.2022/0017897-1;deferido;1;correto
1020.2022/0017636-7;deferido;1;correto
1020.2022/0016671-0;deferido;1;correto
1020.2022/0017893-9;deferido;1;correto
1020.2022/0017892-0;deferido;1;correto
1020.2022/0017631-6;deferido;1;correto
1020.2022/0017630-8;deferido;1;correto
1020.2022/0017629-4;deferido;1;correto
1020.2022/0017619-7;deferido;1;correto
1020.2022/0017613-8;deferido;1;correto
1020.2022/0017913-7;deferido;1;correto
1020.2022/0016675-2;deferido;1;correto
1020.2022/0017615-4;deferido;1;correto
1020.2022/0017616-2;deferido;1;correto
1020.2022/0016565-9;deferido;1;correto
1020.2022/0017617-0;deferido;1;correto
1020.2022/0017618-9;deferido;1;correto
1020.2022/0017620-0;deferido;1;correto
1020.2022/0017628-6;deferido;1;correto
1020.2022/0017856-4;deferido;1;correto
1020.2022/0017909-9;deferido;1;correto
1020.2022/0017624-3;deferido;1;correto
1020.2022/0016566-7;deferido;1;correto
1020.2022/0016674-4;deferido;1;correto
1020.2022/0017908-0;deferido;1;correto
1020.2022/0017627-8;deferido;1;correto
1020.2022/0017676-6;deferido;1;correto
1020.2022/0016670-1;deferido;1;correto
1020.2022/0017694-4;deferido;1;correto
1020.2022/0017887-4;deferido;1;correto
1020.2022/0017695-2;deferido;1;correto
1020.2022/0016664-7;deferido;1;correto
1020.2022/0017698-7;deferido;1;correto
1020.2022/0017699-5;deferido;1;correto
1020.2022/0017700-2;deferido;1;correto
1020.2022/0016663-9;deferido;1;correto
1020.2022/0016726-0;deferido;1;correto
1020.2022/0017702-9;deferido;1;correto
1020.2022/0016661-2;deferido;1;correto
1020.2022/0017703-7;deferido;1;correto
1020.2022/0017708-8;deferido;1;correto
1020.2022/0017886-6;deferido;1;correto
1020.2022/0017885-8;deferido;1;correto
1020.2022/0016660-4;deferido;1;correto
1020.2022/0016659-0;deferido;1;correto
1020.2022/0016657-4;deferido;1;correto
1020.2022/0017692-8;deferido;1;correto
1020.2022/0016665-5;deferido;1;correto
1020.2022/0017688-0;deferido;1;correto
1020.2022/0017680-4;deferido;1;correto
1020.2022/0016669-8;deferido;1;correto
1020.2022/0016668-0;deferido;1;correto
1020.2022/0017891-2;deferido;1;correto
1020.2022/0016618-3;deferido;1;correto
1020.2022/0016667-1;deferido;1;correto
1020.2022/0017890-4;deferido;1;correto
