n_protocolo;n_processo;despacho;data_despacho;coord_despacho;data_extracao
38714/2021;1020.2020/0002647-7;Despacho de Deferimento Comum;06/12/2021;GTEC;2024.08.02
38886/2021;1020.2020/0000963-7;Despacho de Deferimento Comum;06/06/2023;GTEC;2024.08.02
38950/2021;1020.2020/0001602-1;Despacho de Deferimento Comum;14/06/2022;GTEC;2024.08.02
39272/2021;1020.2020/0003757-6;Despacho de Deferimento Comum;14/01/2022;GTEC;2024.08.02
39300/2021;1020.2020/0011952-1;Despacho de Deferimento Comum;13/02/2023;GTEC;2024.08.02
39379/2021;1020.2020/0000835-5;Despacho de Indeferimento Comum;10/03/2022;GTEC;2024.08.02
39662/2021;1020.2020/0011614-0;Despacho de Deferimento Comum;09/12/2021;GTEC;2024.08.02
39679/2021;1020.2020/0007424-2;Despacho de Deferimento Comum;18/01/2022;GTEC;2024.08.02
39739/2023;1020.2023/0020137-1;Despacho de Deferimento Comum;24/10/2023;GTEC;2024.08.02
39913/2021;1020.2020/0000656-5;Despacho de Deferimento Comum;15/03/2023;GTEC;2024.08.02
39938/2021;1020.2020/0001772-9;Despacho de Deferimento Comum;04/03/2022;GTEC;2024.08.02
40032/2021;1020.2020/0002277-3;Despacho de Deferimento Comum;18/10/2021;GTEC;2024.08.02
40078/2021;1020.2020/0007013-1;Despacho de Indeferimento Comum;11/11/2021;GTEC;2024.08.02
40162/2022;1020.2021/0010001-6;Despacho de Deferimento Comum;07/07/2023;GTEC;2024.08.02
40218/2021;1020.2021/0007020-6;Despacho de Deferimento Comum;15/02/2022;GTEC;2024.08.02
40222/2021;1020.2020/0003185-3;Despacho de Deferimento Comum;22/09/2021;GTEC;2024.08.02
