n_protocolo;n_processo;despacho;data_despacho;coord_despacho;data_extracao
32073/2021;1020.2020/0001274-3;Despacho de Deferimento Comum;17/12/2021;GTEC;2023.08.04
32103/2021;1020.2020/0000474-0;Despacho de Deferimento Comum;13/01/2022;GTEC;2023.08.04
32105/2021;1020.2020/0000482-1;Despacho de Deferimento Comum;11/01/2022;GTEC;2023.08.04
32107/2021;1020.2020/0000110-5;Despacho de Indeferimento Comum;11/11/2021;GTEC;2023.08.04
3213/2022;1020.2020/0015244-8;Despacho de Deferimento Comum;25/05/2022;GTEC;2023.08.04
32243/2021;1020.2020/0003044-0;Despacho de Deferimento Comum;11/11/2022;GTEC;2023.08.04
32250/2021;1020.2020/0000585-2;Despacho de Deferimento Comum;09/09/2021;GTEC;2023.08.04
32256/2021;1020.2020/0001581-5;Despacho de Indeferimento Comum;23/12/2021;GTEC;2023.08.04
32448/2021;1020.2020/0000679-4;Despacho de Indeferimento Comum;06/12/2021;GTEC;2023.08.04
32482/2021;1020.2020/0000052-4;Despacho de Deferimento Comum;19/01/2022;GTEC;2023.08.04
32490/2021;1020.2020/0000725-1;Despacho de Indeferimento Comum;24/09/2021;GTEC;2023.08.04
32768/2021;1020.2020/0002325-7;Despacho de Deferimento Comum;31/01/2022;GTEC;2023.08.04
32818/2021;1020.2020/0007532-0;Despacho de Deferimento Comum;27/07/2022;GTEC;2023.08.04
32921/2021;1020.2021/0009946-8;Despacho de Indeferimento Comum;13/09/2021;GTEC;2023.08.04
32978/2021;1020.2020/0003655-3;Despacho de Indeferimento Comum;27/12/2021;GTEC;2023.08.04
32996/2021;1020.2020/0002883-6;Despacho de Indeferimento Comum;24/09/2021;GTEC;2023.08.04
33007/2021;1020.2020/0001066-0;Despacho de Deferimento Comum;31/01/2022;GTEC;2023.08.04
33134/2021;1020.2020/0002421-0;Despacho de Indeferimento Comum;17/12/2021;GTEC;2023.08.04
33147/2021;1020.2020/0000709-0;Despacho de Deferimento Comum;30/09/2021;GTEC;2023.08.04
3320/2022;1020.2020/0002005-3;Despacho de Indeferimento Comum;10/03/2022;GTEC;2023.08.04
33218/2021;1020.2021/0009727-9;Despacho de Deferimento Comum;08/11/2021;GTEC;2023.08.04
33272/2021;1020.2020/0002418-0;Despacho de Indeferimento Comum;17/12/2021;GTEC;2023.08.04
33350/2021;1020.2020/0000311-6;Despacho de Indeferimento Comum;06/12/2021;GTEC;2023.08.04
33392/2021;1020.2020/0007132-4;Despacho de Deferimento Comum;10/01/2022;GTEC;2023.08.04
33414/2021;1020.2020/0002318-4;Despacho de Deferimento Comum;26/08/2021;GTEC;2023.08.04
3348/2021;1020.2020/0001005-8;Despacho de Indeferimento Comum;29/06/2021;GTEC;2023.08.04
33900/2021;1020.2020/0003870-0;Despacho de Indeferimento Comum;12/08/2021;GTEC;2023.08.04
33924/2021;1020.2020/0007914-7;Despacho de Deferimento Comum;10/09/2021;GTEC;2023.08.04
33924/2021;1020.2020/0007914-7;Despacho de Deferimento Comum;22/09/2021;GTEC;2023.08.04
34196/2021;1020.2021/0010084-9;Despacho de Indeferimento Comum;06/06/2022;GTEC;2023.08.04
34360/2021;1020.2020/0011753-7;Despacho de Deferimento Comum;11/08/2021;GTEC;2023.08.04
34394/2021;1020.2020/0000599-2;Despacho de Indeferimento Comum;21/03/2022;GTEC;2023.08.04
34456/2021;1020.2020/0001428-2;Despacho de Deferimento Comum;01/12/2021;GTEC;2023.08.04
34620/2021;1020.2020/0000013-3;Despacho de Deferimento Comum;21/07/2022;GTEC;2023.08.04
34622/2021;1020.2020/0001264-6;Despacho de Deferimento Comum;17/12/2021;GTEC;2023.08.04
34755/2021;1020.2020/0008924-0;Despacho de Deferimento Comum;07/01/2022;GTEC;2023.08.04
34806/2021;1020.2020/0002160-2;Despacho de Deferimento Comum;19/01/2022;GTEC;2023.08.04
34835/2021;1020.2020/0001240-9;Despacho de Deferimento Comum;29/03/2023;GTEC;2023.08.04
3484/2022;1020.2020/0002698-1;Despacho de Deferimento Comum;04/03/2022;GTEC;2023.08.04
34849/2021;1020.2020/0002234-0;Despacho de Deferimento Comum;14/01/2022;GTEC;2023.08.04
3488/2022;1020.2022/0000948-7;Despacho de Indeferimento Comum;09/02/2022;GTEC;2023.08.04
34905/2021;1020.2020/0000442-2;Despacho de Indeferimento Comum;17/12/2021;GTEC;2023.08.04
34945/2021;1020.2020/0007042-5;Despacho de Deferimento Comum;18/01/2022;GTEC;2023.08.04
35239/2021;1020.2020/0011427-9;Despacho de Deferimento Comum;07/06/2022;GTEC;2023.08.04
35424/2021;1020.2020/0002460-1;Despacho de Deferimento Comum;02/02/2022;GTEC;2023.08.04
35518/2021;1020.2020/0003216-7;Despacho de Deferimento Comum;14/09/2022;GTEC;2023.08.04
3554/2022;1020.2020/0007842-6;Despacho de Indeferimento Comum;10/03/2022;GTEC;2023.08.04
3564/2022;1020.2020/0000064-8;Despacho de Indeferimento Comum;12/04/2022;GTEC;2023.08.04
35981/2021;1020.2021/0011331-2;Despacho de Indeferimento Comum;27/12/2021;GTEC;2023.08.04
36206/2021;1020.2020/0003200-0;Despacho de Deferimento Comum;11/04/2022;GTEC;2023.08.04
3626/2021;1020.2020/0009005-1;Despacho de Deferimento Comum;21/09/2021;GTEC;2023.08.04
36344/2021;1020.2020/0015316-9;Despacho de Deferimento Comum;05/11/2021;GTEC;2023.08.04
36389/2021;1020.2020/0004767-9;Despacho de Deferimento Comum;13/09/2021;GTEC;2023.08.04
36407/2021;1020.2021/0010947-1;Despacho de Indeferimento Comum;27/12/2021;GTEC;2023.08.04
36413/2021;1020.2020/0015522-6;Despacho de Deferimento Comum;13/01/2022;GTEC;2023.08.04
36511/2021;1020.2020/0000663-8;Despacho de Indeferimento Comum;05/01/2022;GTEC;2023.08.04
36533/2021;1020.2020/0005900-6;Despacho de Deferimento Comum;23/11/2021;GTEC;2023.08.04
36568/2021;1020.2020/0011143-1;Despacho de Deferimento Comum;19/10/2021;GTEC;2023.08.04
36590/2021;1020.2020/0002502-0;Despacho de Deferimento Comum;06/06/2022;GTEC;2023.08.04
36617/2021;1020.2020/0003863-7;Despacho de Deferimento Comum;30/12/2021;GTEC;2023.08.04
36627/2021;1020.2020/0001424-0;Despacho de Deferimento Comum;01/04/2022;GTEC;2023.08.04
36630/2021;1020.2020/0003135-7;Despacho de Deferimento Comum;03/06/2022;GTEC;2023.08.04
36641/2021;1020.2020/0001503-3;Despacho de Indeferimento Comum;13/01/2022;GTEC;2023.08.04
36732/2021;1020.2020/0001230-1;Despacho de Indeferimento Comum;18/10/2021;GTEC;2023.08.04
36735/2021;1020.2020/0013648-5;Despacho de Deferimento Comum;04/03/2022;GTEC;2023.08.04
36822/2021;1020.2021/0002169-8;Despacho de Deferimento Comum;14/03/2022;GTEC;2023.08.04
36866/2021;1020.2020/0013151-3;Despacho de Deferimento Comum;27/12/2021;GTEC;2023.08.04
36876/2021;1020.2020/0001636-6;Despacho de Indeferimento Comum;27/12/2021;GTEC;2023.08.04
36962/2021;1020.2020/0003451-8;Despacho de Indeferimento Comum;21/03/2022;GTEC;2023.08.04
37146/2021;1020.2021/0003490-0;Despacho de Deferimento Comum;13/08/2021;GTEC;2023.08.04
37211/2021;1020.2020/0002270-6;Despacho de Deferimento Comum;14/03/2022;GTEC;2023.08.04
37497/2021;1020.2020/0002253-6;Despacho de Deferimento Comum;13/01/2022;GTEC;2023.08.04
37528/2021;1020.2020/0002264-1;Despacho de Deferimento Comum;17/03/2023;GTEC;2023.08.04
37580/2021;1020.2020/0002653-1;Despacho de Deferimento Comum;13/01/2022;GTEC;2023.08.04
37586/2021;1020.2020/0005470-5;Despacho de Deferimento Comum;13/01/2022;GTEC;2023.08.04
37839/2021;1020.2020/0004141-7;Despacho de Deferimento Comum;21/12/2021;GTEC;2023.08.04
3803/2021;1020.2020/0013399-0;Despacho de Deferimento Comum;18/02/2021;GTEC;2023.08.04
38086/2021;1020.2020/0012512-2;Despacho de Indeferimento Comum;29/10/2021;GTEC;2023.08.04
38131/2021;1020.2020/0003627-8;Despacho de Deferimento Comum;10/08/2022;GTEC;2023.08.04
38148/2021;1020.2020/0005719-4;Despacho de Deferimento Comum;20/01/2022;GTEC;2023.08.04
38245/2021;1020.2020/0001734-6;Despacho de Deferimento Comum;04/02/2022;GTEC;2023.08.04
38444/2021;1020.2021/0011761-0;Despacho de Indeferimento Comum;22/11/2021;GTEC;2023.08.04
38478/2021;1020.2020/0002266-8;Despacho de Deferimento Comum;18/01/2022;GTEC;2023.08.04
3869/2021;1020.2020/0002817-8;Despacho de Indeferimento Comum;11/11/2021;GTEC;2023.08.04
38714/2021;1020.2020/0002647-7;Despacho de Deferimento Comum;06/12/2021;GTEC;2023.08.04
38886/2021;1020.2020/0000963-7;Despacho de Deferimento Comum;06/06/2023;GTEC;2023.08.04
38950/2021;1020.2020/0001602-1;Despacho de Deferimento Comum;14/06/2022;GTEC;2023.08.04
39272/2021;1020.2020/0003757-6;Despacho de Deferimento Comum;14/01/2022;GTEC;2023.08.04
39300/2021;1020.2020/0011952-1;Despacho de Deferimento Comum;13/02/2023;GTEC;2023.08.04
39379/2021;1020.2020/0000835-5;Despacho de Indeferimento Comum;10/03/2022;GTEC;2023.08.04
39662/2021;1020.2020/0011614-0;Despacho de Deferimento Comum;09/12/2021;GTEC;2023.08.04
39679/2021;1020.2020/0007424-2;Despacho de Deferimento Comum;18/01/2022;GTEC;2023.08.04
39913/2021;1020.2020/0000656-5;Despacho de Deferimento Comum;15/03/2023;GTEC;2023.08.04
39938/2021;1020.2020/0001772-9;Despacho de Deferimento Comum;04/03/2022;GTEC;2023.08.04
40032/2021;1020.2020/0002277-3;Despacho de Deferimento Comum;18/10/2021;GTEC;2023.08.04
40078/2021;1020.2020/0007013-1;Despacho de Indeferimento Comum;11/11/2021;GTEC;2023.08.04
40162/2022;1020.2021/0010001-6;Despacho de Deferimento Comum;07/07/2023;GTEC;2023.08.04
40218/2021;1020.2021/0007020-6;Despacho de Deferimento Comum;15/02/2022;GTEC;2023.08.04
40222/2021;1020.2020/0003185-3;Despacho de Deferimento Comum;22/09/2021;GTEC;2023.08.04
4041/2021;1020.2020/0006926-5;Despacho de Deferimento Comum;22/03/2021;GTEC;2023.08.04
4074/2021;1020.2020/0001595-5;Despacho de Indeferimento Comum;11/11/2021;GTEC;2023.08.04
40843/2021;1020.2020/0003227-2;Despacho de Deferimento Comum;18/10/2021;GTEC;2023.08.04
40872/2021;1020.2020/0009151-1;Despacho de Deferimento Comum;26/04/2022;GTEC;2023.08.04
40889/2021;1020.2020/0005810-7;Despacho de Indeferimento Comum;10/03/2022;GTEC;2023.08.04
40962/2021;1020.2020/0005095-5;Despacho de Indeferimento Comum;13/01/2022;GTEC;2023.08.04
4106/2022;1020.2020/0006848-0;Despacho de Deferimento Comum;20/06/2022;GTEC;2023.08.04
41247/2021;1020.2020/0001964-0;Despacho de Deferimento Comum;02/05/2022;GTEC;2023.08.04
41320/2021;1020.2021/0013636-3;Despacho de Indeferimento Comum;27/12/2021;GTEC;2023.08.04
41341/2021;1020.2020/0001165-8;Despacho de Indeferimento Comum;23/12/2021;GTEC;2023.08.04
41423/2021;1020.2021/0013635-5;Despacho de Indeferimento Comum;27/12/2021;GTEC;2023.08.04
41595/2021;1020.2020/0001526-2;Despacho de Deferimento Comum;09/03/2022;GTEC;2023.08.04
41629/2021;1020.2021/0012810-7;Despacho de Indeferimento Comum;27/12/2021;GTEC;2023.08.04
42224/2021;1020.2020/0002820-8;Despacho de Indeferimento Comum;15/12/2021;GTEC;2023.08.04
42653/2021;1020.2020/0002175-0;Despacho de Deferimento Comum;14/12/2022;GTEC;2023.08.04
42682/2021;1020.2020/0000325-6;Despacho de Indeferimento Comum;17/12/2021;GTEC;2023.08.04
42832/2021;1020.2020/0002864-0;Despacho de Deferimento Comum;18/11/2021;GTEC;2023.08.04
42904/2021;1020.2020/0014896-3;Despacho de Deferimento Comum;11/11/2021;GTEC;2023.08.04
4293/2021;1020.2020/0001337-5;Despacho de Indeferimento Comum;03/05/2021;GTEC;2023.08.04
43158/2021;1020.2020/0000567-4;Despacho de Deferimento Comum;05/03/2022;GTEC;2023.08.04
43193/2021;1020.2020/0002778-3;Despacho de Deferimento Comum;29/03/2022;GTEC;2023.08.04
43740/2021;1020.2020/0000906-8;Despacho de Deferimento Comum;08/02/2022;GTEC;2023.08.04
43741/2021;1020.2020/0000907-6;Despacho de Deferimento Comum;08/02/2022;GTEC;2023.08.04
43746/2021;1020.2020/0004916-7;Despacho de Deferimento Comum;09/11/2021;GTEC;2023.08.04
43752/2021;1020.2020/0011993-9;Despacho de Deferimento Comum;08/02/2022;GTEC;2023.08.04
43979/2021;1020.2020/0000811-8;Despacho de Deferimento Comum;10/12/2021;GTEC;2023.08.04
44016/2021;1020.2020/0000783-9;Despacho de Deferimento Comum;07/06/2022;GTEC;2023.08.04
44102/2021;1020.2020/0005768-2;Despacho de Indeferimento Comum;13/01/2022;GTEC;2023.08.04
4426/2022;1020.2020/0012585-8;Despacho de Deferimento Comum;04/03/2022;GTEC;2023.08.04
44401/2021;1020.2020/0005612-0;Despacho de Indeferimento Comum;06/06/2022;GTEC;2023.08.04
44492/2021;1020.2021/0000874-8;Despacho de Deferimento Comum;01/12/2021;GTEC;2023.08.04
