n_protocolo;n_processo;data_comuniquese;coord_comuniquese;data_extracao
44424/2021;1020.2020/0002756-2;13/07/2023;GTEC;2024.08.02
44424/2021;1020.2020/0002756-2;27/04/2023;GTEC;2024.08.02
44480/2020;1020.2020/0007341-6;01/12/2022;GTEC;2024.08.02
44859/2020;1020.2020/0007056-5;02/01/2023;GTEC;2024.08.02
44859/2020;1020.2020/0007056-5;18/11/2022;GTEC;2024.08.02
4491/2020;1020.2020/0004444-0;04/09/2023;GTEC;2024.08.02
4491/2020;1020.2020/0004444-0;13/12/2023;GTEC;2024.08.02
44969/2023;1020.2021/0015686-0;16/02/2024;GTEC;2024.08.02
44969/2023;1020.2021/0015686-0;30/04/2024;GTEC;2024.08.02
45079/2023;1020.2020/0012614-5;20/03/2024;GTEC;2024.08.02
45079/2023;1020.2020/0012614-5;27/05/2024;GTEC;2024.08.02
45097/2020;1020.2020/0009245-3;17/03/2023;GTEC;2024.08.02
4519/2022;1020.2020/0004480-7;28/02/2024;GTEC;2024.08.02
45363/2021;1020.2021/0016179-1;10/06/2024;GTEC;2024.08.02
45363/2021;1020.2021/0016179-1;15/03/2024;GTEC;2024.08.02
45577/2020;1020.2020/0006187-6;26/10/2022;GTEC;2024.08.02
45837/2020;1020.2020/0005910-3;20/10/2022;GTEC;2024.08.02
45905/2020;1020.2020/0005914-6;07/03/2024;GTEC;2024.08.02
45905/2020;1020.2020/0005914-6;08/02/2024;GTEC;2024.08.02
45908/2021;1020.2020/0000855-0;28/04/2023;GTEC;2024.08.02
45913/2021;1020.2021/0015686-0;27/07/2023;GTEC;2024.08.02
46024/2020;1020.2020/0006178-7;10/05/2023;GTEC;2024.08.02
46024/2020;1020.2020/0006178-7;10/11/2022;GTEC;2024.08.02
46024/2020;1020.2020/0006178-7;13/07/2023;GTEC;2024.08.02
46024/2020;1020.2020/0006178-7;20/12/2022;GTEC;2024.08.02
46109/2021;1020.2021/0015790-5;22/12/2023;GTEC;2024.08.02
46109/2021;1020.2021/0015790-5;28/07/2023;GTEC;2024.08.02
46355/2020;1020.2020/0005906-5;13/10/2022;GTEC;2024.08.02
46418/2020;1020.2020/0005912-0;24/10/2022;GTEC;2024.08.02
46418/2020;1020.2020/0005912-0;31/01/2023;GTEC;2024.08.02
46477/2020;1020.2020/0006181-7;26/10/2022;GTEC;2024.08.02
465/2024;1020.2021/0012313-0;01/02/2024;GTEC;2024.08.02
46548/2020;1020.2020/0006179-5;04/11/2022;GTEC;2024.08.02
46737/2022;1020.2022/0019363-6;26/05/2023;GTEC;2024.08.02
46772/2020;1020.2020/0006180-9;02/01/2023;GTEC;2024.08.02
46772/2020;1020.2020/0006180-9;03/11/2022;GTEC;2024.08.02
46772/2020;1020.2020/0006180-9;07/06/2023;GTEC;2024.08.02
46840/2020;1020.2020/0005913-8;03/01/2023;GTEC;2024.08.02
46840/2020;1020.2020/0005913-8;27/07/2023;GTEC;2024.08.02
46840/2020;1020.2020/0005913-8;31/10/2022;GTEC;2024.08.02
46862/2023;1020.2023/0024004-0;01/04/2024;GTEC;2024.08.02
46944/2022;1020.2020/0000075-3;06/12/2022;GTEC;2024.08.02
46944/2022;1020.2020/0000075-3;22/02/2023;GTEC;2024.08.02
46975/2020;1020.2020/0007336-0;30/11/2022;GTEC;2024.08.02
47141/2021;1020.2021/0016812-5;09/11/2023;GTEC;2024.08.02
47141/2021;1020.2021/0016812-5;21/07/2023;GTEC;2024.08.02
47268/2021;1020.2021/0015690-9;22/05/2024;GTEC;2024.08.02
47415/2022;1020.2022/0020919-2;15/05/2023;GTEC;2024.08.02
47415/2022;1020.2022/0020919-2;22/03/2023;GTEC;2024.08.02
47465/2022;1020.2022/0020163-9;28/03/2023;GTEC;2024.08.02
47570/2021;1020.2021/0014738-1;13/09/2023;GTEC;2024.08.02
