dt_autuacao,n_processos,assunto,unidade,status
04/10/2023,1020.2023/0019669-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
05/10/2023,1020.2023/0019855-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
06/10/2023,1020.2023/0019949-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
09/10/2023,1020.2023/0020068-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
09/10/2023,1020.2023/0020070-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/10/2023,1020.2023/0020347-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
16/10/2023,1020.2023/0020458-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
18/10/2023,1020.2023/0020625-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
19/10/2023,1020.2023/0020843-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
19/10/2023,1020.2023/0020850-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
20/10/2023,1020.2023/0020922-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
23/10/2023,1020.2023/0021032-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
23/10/2023,1020.2023/0021035-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
24/10/2023,1020.2023/0021151-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
24/10/2023,1020.2023/0021159-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
26/10/2023,1020.2023/0021368-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
26/10/2023,1020.2023/0021370-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
27/10/2023,1020.2023/0021467-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
30/10/2023,1020.2023/0021583-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
30/10/2023,1020.2023/0021584-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
30/10/2023,1020.2023/0021585-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
31/10/2023,1020.2023/0021781-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/11/2023,1020.2023/0021897-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/11/2023,1020.2023/0021898-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/11/2023,1020.2023/0021920-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
06/11/2023,1020.2023/0021997-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
06/11/2023,1020.2023/0021998-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
08/11/2023,1020.2023/0022303-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
13/11/2023,1020.2023/0022663-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
13/11/2023,1020.2023/0022677-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
17/11/2023,1020.2023/0023098-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
21/11/2023,1020.2023/0023211-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
24/11/2023,1020.2023/0023743-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
27/11/2023,1020.2023/0023902-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
30/11/2023,1020.2023/0024369-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/12/2023,1020.2023/0024500-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/12/2023,1020.2023/0024510-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
04/12/2023,1020.2023/0024711-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
04/12/2023,1020.2023/0024715-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
04/12/2023,1020.2023/0024823-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
05/12/2023,1020.2023/0024909-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
05/12/2023,1020.2023/0024910-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
05/12/2023,1020.2023/0024911-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
05/12/2023,1020.2023/0024912-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
07/12/2023,1020.2023/0025206-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
07/12/2023,1020.2023/0025257-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
07/12/2023,1020.2023/0025276-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
07/12/2023,1020.2023/0025290-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
08/12/2023,1020.2023/0025467-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/12/2023,1020.2023/0025690-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/12/2023,1020.2023/0025697-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/12/2023,1020.2023/0025717-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
12/12/2023,1020.2023/0026053-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
14/12/2023,1020.2023/0026389-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
14/12/2023,1020.2023/0026464-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
18/12/2023,1020.2023/0026888-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
18/12/2023,1020.2023/0026938-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
